t_src_ms,t_host_s,seq,mrac_state.roll.e,mrac_state.roll.u_nom,mrac_state.roll.u_ad,mrac_state.roll.u_def,mrac_state.pitch.e,mrac_state.pitch.u_nom,mrac_state.pitch.u_ad,mrac_state.pitch.u_def
16780,0.9840,0,-0.009696859866380692,0.0034132401924580336,0.14392690360546112,0.0,0.047039829194545746,-0.006199202965945005,-0.14845013618469238,0.0
17780,1.9840,1,-0.019459214061498642,-0.0029603885486721992,0.14503124356269836,0.0,0.044480353593826294,-0.001126128830946982,-0.1484719216823578,0.0
18780,2.9840,2,0.006669571623206139,0.005408481694757938,0.1453661024570465,0.0,0.041107840836048126,0.0022267415188252926,-0.14845821261405945,0.0
19780,3.9840,3,-0.01888677477836609,0.004145682789385319,0.1457989662885666,0.0,0.04716382175683975,-0.00035879347706213593,-0.1484876573085785,0.0
20780,4.9840,4,-0.059150271117687225,0.009894739836454391,0.1464511603116989,0.0,0.08492939174175262,-0.03162633627653122,-0.14847803115844727,0.0
21780,5.9840,5,-0.027721090242266655,0.005709032062441111,0.14693154394626617,0.0,0.04641095548868179,-0.010468192398548126,-0.14850713312625885,0.0
22780,6.9840,6,-0.023936422541737556,0.0063532558269798756,0.14737536013126373,0.0,0.0760403648018837,-0.021895507350564003,-0.1485401690006256,0.0
23780,7.9840,7,-0.03573796525597572,0.009658738039433956,0.14766910672187805,0.0,0.05133950710296631,-0.0061055817641317844,-0.14848782122135162,0.0
24780,8.9840,8,-0.033662620931863785,0.015263031236827374,0.14785951375961304,0.0,0.03266259282827377,-0.00805761106312275,-0.14843332767486572,0.0
25780,9.9840,9,0.00014943629503250122,-0.015196180902421474,0.14793503284454346,0.0,0.0454522967338562,-0.00846951361745596,-0.14848048985004425,0.0
26780,10.9840,10,-0.05180441588163376,0.02755512297153473,0.1479906141757965,0.0,0.049168411642313004,-0.00025415990967303514,-0.1484704613685608,0.0
27780,11.9840,11,-0.051191698759794235,0.014216533862054348,0.14807745814323425,0.0,0.08555280417203903,-0.022052451968193054,-0.14845824241638184,0.0
28780,12.9840,12,-0.04362289234995842,-0.0016043989453464746,0.14816662669181824,0.0,0.0052030980587005615,-0.011424796655774117,-0.14839604496955872,0.0
29780,13.9840,13,-0.07838120311498642,0.024475054815411568,0.14818058907985687,0.0,0.0590660385787487,-0.032738808542490005,-0.1484072208404541,0.0
30780,14.9840,14,-0.01162630133330822,-0.0015292852185666561,0.1482156664133072,0.0,0.0420958437025547,0.004689614288508892,-0.14846271276474,0.0
31780,15.9840,15,-0.0355471596121788,0.02284630388021469,0.14820371568202972,0.0,0.07040135562419891,-0.023077858611941338,-0.14854618906974792,0.0
32780,16.9840,16,-0.017941642552614212,-0.015387263149023056,0.14818406105041504,0.0,0.09712975472211838,-0.029794281348586082,-0.14859312772750854,0.0
33780,17.9840,17,-0.07250796258449554,0.03519000485539436,0.14816592633724213,0.0,0.06688322871923447,-0.014208697713911533,-0.14862143993377686,0.0
34780,18.9840,18,-0.03519901633262634,0.027221111580729485,0.14819790422916412,0.0,0.07878857851028442,-0.03483792394399643,-0.14860720932483673,0.0
35780,19.9840,19,-0.02619846537709236,-0.0012655279133468866,0.14822736382484436,0.0,0.08029536157846451,-0.018659519031643867,-0.14857767522335052,0.0
36780,20.9840,20,-0.035297930240631104,-0.008439942263066769,0.14818285405635834,0.0,0.05738688260316849,-0.009025074541568756,-0.1485840082168579,0.0
37780,21.9840,21,-0.032458968460559845,0.009469432756304741,0.1481623649597168,0.0,0.033507946878671646,-0.0030760657973587513,-0.14858627319335938,0.0
38780,22.9840,22,-0.02194782719016075,0.005612569861114025,0.1481669396162033,0.0,0.06897343695163727,-0.0207271259278059,-0.14853863418102264,0.0
39780,23.9840,23,-0.01829184591770172,-0.008958453312516212,0.14816462993621826,0.0,0.035319142043590546,-0.009955382905900478,-0.14853236079216003,0.0
40780,24.9840,24,-0.03705359250307083,0.017621908336877823,0.1481812596321106,0.0,0.0285956971347332,-0.00355418655090034,-0.1484614610671997,0.0
41780,25.9840,25,-0.05100010707974434,0.012009217403829098,0.14819888770580292,0.0,0.07547116279602051,-0.016281353309750557,-0.1484903246164322,0.0
42780,26.9840,26,-0.015848884359002113,0.026073826476931572,0.1481812298297882,0.0,0.05420614033937454,-0.015024678781628609,-0.14856231212615967,0.0
43780,27.9840,27,-0.030523845925927162,0.0016483685467392206,0.14819440245628357,0.0,0.07439099997282028,-0.03076752834022045,-0.14855647087097168,0.0
44780,28.9840,28,-0.0758185088634491,0.0394400879740715,0.1481936275959015,0.0,0.1246080994606018,-0.07042430341243744,-0.14858652651309967,0.0
45780,29.9840,29,-0.023165233433246613,-0.0014718255260959268,0.14819255471229553,0.0,0.012643098831176758,-0.00053288449998945,-0.14866818487644196,0.0
